variety,yield_bu_ac,test_weight_lb_bu,protein_pct,height_in,maturity_days,trial_name,trial_year,location,wheat_class,planted_date,harvested_date,source,source_url
TMC M-Press,85,60.3,11.8,31,151,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
ORI2190027CL+,85,61.1,11.9,29,145,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
WA8347 AX,85,62.2,11.9,35,145,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
GS Bounty,83,59.2,12.1,35,146,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
Pirahna CL+,82,60.4,11.7,33,148,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
WA8345 AX,82,59.7,12.6,34,145,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
LCS Shine,81,59.7,12.9,25,144,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
WA8346 AX,81,58.8,12.5,33,146,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
UIL 17-7706 CL+,81,60.9,12,30,145,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
LWWA19-0293,80,62.1,12.5,30,143,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
LCS Hulk,79,61.3,12,31,144,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
Purl,79,60.9,11.5,31,144,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
LCS Kraken AX,79,60.8,12.2,33,146,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
LWWA19-0287,79,59.3,11.7,34,145,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
TMC M-Pire,78,61.2,11.9,29,148,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
LCS Blackjack,78,58.6,11.8,28,147,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
WB1922,78,61.7,12.4,31,152,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
LWW19-6219,78,60.5,12.1,30,147,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
WA8405,78,58.5,11.9,31,147,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
SY Assure,77,61.6,11.8,28,143,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
LWW20-2383,77,61.7,11.4,28,143,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
WA8398,77,58.8,11.8,29,146,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
VI Voodoo CL+,77,58.2,12.7,27,146,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
LCS Scorpion AX,77,60.2,11.6,29,144,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
Stingray CL+,77,58.7,13.1,31,146,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
